City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Dhenkanal,IN,85.39,overcast clouds,20.6667,85.6,Sai Residency
164,Seabra,BR,80.02,overcast clouds,-12.4186,-41.7703,Cambuí Hotel
168,Avarua,CK,76.84,light rain,-21.2078,-159.775,Paradise Inn
169,Kaohsiung,TW,85.03,scattered clouds,22.6163,120.3133,御宿商旅-中山館
176,Palmer,US,77.63,broken clouds,42.1584,-72.3287,Wedgewood Motel
184,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
185,Orgovany,HU,84.24,clear sky,46.7509,19.4726,Pipacs-Tanya
187,Vanimo,PG,78.06,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
191,Port Elizabeth,ZA,79.32,clear sky,-33.918,25.5701,39 On Nile Guest House
195,Kudahuvadhoo,MV,84.29,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
203,Vodyane,UA,78.42,broken clouds,47.4875,34.4924,Tsentralny Hotel
204,Bat Yam,IL,82.02,few clouds,32.0231,34.7503,Ruth Daniel Residence Hotel
209,Tabou,CI,81.36,broken clouds,4.423,-7.3528,hotêl doufoulougou
211,Uige,AO,87.04,clear sky,-7.6087,15.0613,Hotel Catraio
215,Baculin,PH,78.67,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
217,Kavaratti,IN,79.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
219,Acajutla,SV,81.46,overcast clouds,13.5928,-89.8275,Laureles
220,Lasa,IT,81.7,few clouds,46.6166,10.7002,Pension Feldgärtenhof
227,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
229,Brasilia,BR,79.63,scattered clouds,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
230,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
233,Port Blair,IN,82.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
234,Tomatlan,MX,87.28,clear sky,19.9333,-105.25,El Salvial
236,Alacranes,CU,84.69,clear sky,22.7675,-81.5675,Hotel Union de Reyes
238,Bengkulu,ID,77.77,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
250,Shyroke,UA,80.37,broken clouds,47.6917,33.2571,Sauna
252,Zhuhai,CN,83.98,moderate rain,22.2769,113.5678,珠海粤财假日酒店
253,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
255,Gondanglegi,ID,76.12,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
257,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
258,Mangrol,IN,83.44,broken clouds,21.1167,70.1167,Hotel The Royal Honours
259,Ivanteyevka,RU,77.34,clear sky,55.9711,37.9208,New Slides
260,Langelsheim,DE,77.7,scattered clouds,51.9333,10.3333,Hotel Im Tannengrund
264,Tiarei,PF,75.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
