City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Bengkulu,ID,2022-06-08 17:12:36,-3.8004,102.2655,75.54,92,100,6.67
113,Ahipara,NZ,2022-06-08 17:12:36,-35.1667,173.1667,60.21,88,100,10.94
114,Yellowknife,CA,2022-06-08 17:12:37,62.456,-114.3525,64.56,45,38,11.99
115,Hobart,AU,2022-06-08 17:12:37,-42.8794,147.3294,46.26,74,40,18.41
116,Puerto Ayora,EC,2022-06-08 17:12:37,-0.7393,-90.3518,80.56,88,99,5.99
117,Ninotsminda,GE,2022-06-08 17:12:38,41.2646,43.5916,51.17,93,95,4.52
118,Sovetskiy,RU,2022-06-08 17:12:38,61.3614,63.5842,49.87,93,100,10.96
119,Coari,BR,2022-06-08 17:12:38,-4.085,-63.1414,89.64,52,81,2.28
120,Ulladulla,AU,2022-06-08 17:12:39,-35.35,150.4667,38.77,79,3,8.81
121,Lavumisa,SZ,2022-06-08 17:12:39,-27.31,31.892,60.39,68,0,3.09
122,Vaini,TO,2022-06-08 17:12:39,-21.2,-175.2,71.76,88,40,3.44
123,Faya,SA,2022-06-08 17:12:39,18.3851,42.4509,72.12,47,92,4.14
124,Broome,US,2022-06-08 17:12:40,42.2506,-75.833,71.55,60,100,8.05
125,Vanavara,RU,2022-06-08 17:12:40,60.34,102.2797,47.28,64,40,3.13
126,Road Town,VG,2022-06-08 17:12:29,18.4167,-64.6167,86.04,66,40,10.36
127,Marzuq,YE,2022-06-08 17:12:40,14.4,46.4667,81.79,47,55,8.48
128,Roslyakovo,RU,2022-06-08 17:12:41,69.043,33.1991,63.32,37,73,7.0
129,Yalta,UA,2022-06-08 17:12:41,44.5,34.1667,68.49,75,94,5.21
130,Klaksvik,FO,2022-06-08 17:12:41,62.2266,-6.589,54.52,75,100,21.65
131,Bredasdorp,ZA,2022-06-08 17:12:42,-34.5322,20.0403,63.97,46,21,6.17
132,Sandur,IN,2022-06-08 17:12:42,15.1,76.55,79.14,71,11,22.48
133,Zyryanka,RU,2022-06-08 17:12:42,65.75,150.85,40.28,71,55,4.94
134,Fortuna,US,2022-06-08 17:12:43,40.5982,-124.1573,67.93,71,0,10.36
135,Isakly,RU,2022-06-08 17:12:43,54.1333,51.5333,51.01,97,100,12.59
136,Laguna,US,2022-06-08 17:12:04,38.421,-121.4238,79.32,39,0,8.05
137,Madinat Sittah Uktubar,EG,2022-06-08 17:12:43,29.8167,31.05,92.8,22,0,12.19
138,Ukiah,US,2022-06-08 17:12:44,39.1502,-123.2078,75.36,52,0,3.44
139,Tolaga Bay,NZ,2022-06-08 17:12:44,-38.3667,178.3,55.67,81,100,5.19
140,Merke,KZ,2022-06-08 17:13:44,42.8728,73.1786,71.71,50,100,9.55
141,Khatanga,RU,2022-06-08 17:13:44,71.9667,102.5,44.2,83,100,12.33
142,North Battleford,CA,2022-06-08 17:10:14,52.7834,-108.2847,70.41,42,67,6.11
143,Vilyuysk,RU,2022-06-08 17:13:45,63.7553,121.6247,57.0,90,82,3.91
144,Vao,NC,2022-06-08 17:13:45,-22.6667,167.4833,76.73,78,99,19.98
145,Forbes,AU,2022-06-08 17:13:46,-33.3833,148.0167,38.61,80,7,6.46
146,Coihaique,CL,2022-06-08 17:10:02,-45.5752,-72.0662,43.41,87,75,4.61
147,Salalah,OM,2022-06-08 17:13:46,17.0151,54.0924,84.29,79,40,4.61
148,Semiluki,RU,2022-06-08 17:13:46,51.6853,39.0279,72.05,33,0,2.24
149,Marawi,PH,2022-06-08 17:13:47,7.9986,124.2928,69.42,93,100,3.69
150,Cidreira,BR,2022-06-08 17:13:47,-30.1811,-50.2056,65.59,75,20,10.49
151,Mahibadhoo,MV,2022-06-08 17:13:47,3.7833,72.9667,82.4,75,96,8.5
152,Zeya,RU,2022-06-08 17:13:47,53.75,127.2667,55.53,90,48,3.0
153,Highland,US,2022-06-08 17:13:48,34.1283,-117.2086,101.08,40,0,0.0
154,Baykit,RU,2022-06-08 17:13:48,61.67,96.37,49.51,74,85,2.68
155,Isla Mujeres,MX,2022-06-08 17:13:48,21.2311,-86.731,86.16,75,100,13.2
156,Yeppoon,AU,2022-06-08 17:13:49,-23.1333,150.7333,46.18,64,0,10.11
157,Shubarshi,KZ,2022-06-08 17:13:49,48.5872,57.1869,64.35,35,4,7.02
158,Acajutla,SV,2022-06-08 17:13:49,13.5928,-89.8275,82.71,70,100,5.77
159,Georgetown,MY,2022-06-08 17:13:50,5.4112,100.3354,82.33,89,20,0.0
160,Saint Anthony,US,2022-06-08 17:08:58,45.0205,-93.218,75.81,42,20,11.5
161,Shahr-E Babak,IR,2022-06-08 17:13:50,30.1165,55.1186,84.06,13,24,12.03
162,Maturin,VE,2022-06-08 17:13:50,9.75,-63.1767,81.61,69,89,8.16
163,Port Elizabeth,ZA,2022-06-08 17:13:51,-33.918,25.5701,72.1,50,0,1.01
164,Damghan,IR,2022-06-08 17:13:51,36.1683,54.348,84.6,23,64,8.55
165,Omboue,GA,2022-06-08 17:13:51,-1.5746,9.2618,76.5,81,98,4.88
166,Axim,GH,2022-06-08 17:13:52,4.8699,-2.2405,81.77,68,59,8.25
167,Killarney,IE,2022-06-08 17:13:52,52.05,-9.5167,59.05,72,75,25.32
168,Lebu,CL,2022-06-08 17:13:52,-37.6167,-73.65,53.94,86,81,8.72
169,Panaba,MX,2022-06-08 17:13:53,21.2833,-88.2667,90.75,48,100,11.56
170,Catamarca,AR,2022-06-08 17:13:53,-28.4696,-65.7852,77.58,44,100,4.0
171,Beloha,MG,2022-06-08 17:13:53,-25.1667,45.05,65.23,58,94,8.66
172,Moranbah,AU,2022-06-08 17:11:08,-22.0016,148.0466,49.28,60,0,10.0
173,Itarema,BR,2022-06-08 17:13:54,-2.9248,-39.9167,83.03,69,65,11.16
174,Bilibino,RU,2022-06-08 17:13:54,68.0546,166.4372,50.4,71,99,4.27
175,Andenes,NO,2022-06-08 17:13:54,69.3143,16.1194,44.58,81,75,14.97
176,Cabo San Lucas,MX,2022-06-08 17:09:17,22.8909,-109.9124,88.9,74,0,8.05
177,Iqaluit,CA,2022-06-08 17:13:55,63.7506,-68.5145,50.72,39,54,5.99
178,Salinopolis,BR,2022-06-08 17:13:55,-0.6136,-47.3561,81.54,82,90,8.84
179,Vanimo,PG,2022-06-08 17:13:55,-2.6741,141.3028,77.25,88,99,4.43
